episode_number,pitch_number,brand_name,idea,deal,pitcher_ask_amount,ask_equity,ask_valuation,deal_amount,deal_equity,deal_valuation
29,92,Wakao Foods,Jackfruit Products,1,75,5,1500,75,21,357.14
29,93,PDD Falcon,Stainless Steel Items,0,75,3,2500,0,0,0
29,94,PlayBox TV,Streaming Platform,0,100,3.5,2857.14,0,0,0
30,95,Sippline Drinking Shields,Portable Glass Attachment,0,75,15,500,0,0,0
30,96,Kabaddi Adda,All-Kabaddi App,1,80,1,8000,80,6,1333.33
30,97,Shades of Spring,Flowers,0,300,1,30000,0,0,0
30,98,Scholify,Scholarship Platform,0,50,7.5,666.67,0,0,0
31,99,Scrapshala,Handmade Reusable Scrap Materials,0,50,10,500,0,0,0
31,100,Sabjikothi,Vegetables Storage,0,60,2.5,2400,0,0,0
31,101,AyuRythm,Ayurvedic Wellness App,1,75,2,3750,75,2.68,2798.51
31,102,Astrix,Smart Locks,0,75,3,2500,0,0,0
32,103,Thea and Sid,Proposal Solutions,0,80,7,1142.86,0,0,0
32,104,Experential Etc,Technology layered Advertisement Services,0,200,4,5000,0,0,0
32,105,GrowFitter,Rewards App,1,50,1,5000,50,2,2500
32,106,Med Tech,Portable opthalmic devices,0,35,6,583.33,0,0,0
33,107,Colour Me Mad,Insoles,1,40,10,400,40,25,160
33,108,Mavi's,Vegan Fermented Food,0,40,5,800,0,0,0
33,109,Tweek Labs,Sportswear,1,40,2,2000,60,10,600
33,110,Proxgy,VR,1,35,1,3500,10,10,100
34,111,Nomad Food Project,Bacon Jams,1,40,10,400,40,20,200
34,112,Twee in One,Reversible and convertible clothing,0,30,7.5,400,0,0,0
34,113,Green Protein,Plant-Based Protein,0,60,2,3000,0,0,0
34,114,On2Cook,Fastest Cooking Device,0,100,1,10000,0,0,0
35,115,Jain Shikanji,Lemonade,1,40,8,500,40,30,133.33
35,116,Woloo,Washroom Finder,0,50,4,1250,0,0,0
35,117,Elcare India,Carenting for Elders,0,100,2.5,4000,0,0,0
